2026-07-06 19:36:03,969 [INFO] AUDIT: {"timestamp": "2026-07-06T12:36:03Z", "eventType": "AI_DECISION", "incidentId": "inc-test-ai", "details": {"inputPrompt": "Detect anomalies", "rawOutput": "{\"decision\": \"block\"}", "parsedDecision": {"decision": "block"}}}
2026-07-06 19:36:03,971 [INFO] AUDIT: {"timestamp": "2026-07-06T12:36:03Z", "eventType": "API_CONNECTOR", "incidentId": "inc-test-api", "details": {"targetSystem": "fortinet", "actionType": "block_ip", "requestParams": {"ip": "10.0.0.1"}, "success": true, "responseMessage": "IP added to address group successfully"}}
2026-07-06 19:36:03,971 [INFO] AUDIT: {"timestamp": "2026-07-06T12:36:03Z", "eventType": "GUARDRAILS_CHECK", "incidentId": "inc-test-guard", "details": {"action": {"action_type": "quarantine_host", "target": "DB-PROD"}, "allowed": false, "reason": "Blocked by static Whitelist"}}
2026-07-06 19:42:11,524 [INFO] AUDIT: {"timestamp": "2026-07-06T12:42:11Z", "eventType": "API_CONNECTOR", "incidentId": "manual-rollback", "details": {"targetSystem": "rollback_engine", "actionType": "rollback_block_ip", "requestParams": {"target": "10.0.0.1"}, "success": true, "responseMessage": "Rollback successful: Fortinet: mock-unblocked-fn | WAF: mock-unblocked-waf"}}
2026-07-06 19:42:11,530 [INFO] AUDIT: {"timestamp": "2026-07-06T12:42:11Z", "eventType": "API_CONNECTOR", "incidentId": "manual-rollback", "details": {"targetSystem": "rollback_engine", "actionType": "rollback_disable_account", "requestParams": {"target": "john_doe"}, "success": true, "responseMessage": "Rollback successful: mock-enabled-ad"}}
2026-07-06 19:42:11,530 [INFO] AUDIT: {"timestamp": "2026-07-06T12:42:11Z", "eventType": "API_CONNECTOR", "incidentId": "manual-rollback", "details": {"targetSystem": "rollback_engine", "actionType": "rollback_quarantine_host", "requestParams": {"target": "Web-Prod-01"}, "success": true, "responseMessage": "Rollback successful: mock-lifted-cs"}}
2026-07-06 19:42:22,199 [INFO] AUDIT: {"timestamp": "2026-07-06T12:42:22Z", "eventType": "API_CONNECTOR", "incidentId": "manual-rollback", "details": {"targetSystem": "rollback_engine", "actionType": "rollback_block_ip", "requestParams": {"target": "10.0.0.1"}, "success": true, "responseMessage": "Rollback successful: Fortinet: mock-unblocked-fn | WAF: mock-unblocked-waf"}}
2026-07-06 19:42:22,202 [INFO] AUDIT: {"timestamp": "2026-07-06T12:42:22Z", "eventType": "API_CONNECTOR", "incidentId": "manual-rollback", "details": {"targetSystem": "rollback_engine", "actionType": "rollback_disable_account", "requestParams": {"target": "john_doe"}, "success": true, "responseMessage": "Rollback successful: mock-enabled-ad"}}
2026-07-06 19:42:22,202 [INFO] AUDIT: {"timestamp": "2026-07-06T12:42:22Z", "eventType": "API_CONNECTOR", "incidentId": "manual-rollback", "details": {"targetSystem": "rollback_engine", "actionType": "rollback_quarantine_host", "requestParams": {"target": "Web-Prod-01"}, "success": true, "responseMessage": "Rollback successful: mock-lifted-cs"}}
2026-07-06 19:42:27,352 [INFO] AUDIT: {"timestamp": "2026-07-06T12:42:27Z", "eventType": "API_CONNECTOR", "incidentId": "manual-rollback", "details": {"targetSystem": "rollback_engine", "actionType": "rollback_block_ip", "requestParams": {"target": "10.0.0.1"}, "success": true, "responseMessage": "Rollback successful: Fortinet: mock-unblocked-fn | WAF: mock-unblocked-waf"}}
2026-07-06 19:42:27,353 [INFO] AUDIT: {"timestamp": "2026-07-06T12:42:27Z", "eventType": "API_CONNECTOR", "incidentId": "manual-rollback", "details": {"targetSystem": "rollback_engine", "actionType": "rollback_disable_account", "requestParams": {"target": "john_doe"}, "success": true, "responseMessage": "Rollback successful: mock-enabled-ad"}}
2026-07-06 19:42:27,354 [INFO] AUDIT: {"timestamp": "2026-07-06T12:42:27Z", "eventType": "API_CONNECTOR", "incidentId": "manual-rollback", "details": {"targetSystem": "rollback_engine", "actionType": "rollback_quarantine_host", "requestParams": {"target": "Web-Prod-01"}, "success": true, "responseMessage": "Rollback successful: mock-lifted-cs"}}
